1622029712.000000, 1622029712.000000, 1622029712.000000
32.000000, 32.000000, 32.000000
0,-6,62
2,-5,63
-2,-5,62
-1,-4,62
-1,-4,63
-4,-3,62
-2,-4,62
1,-4,63
0,-3,63
0,-3,62
-1,-3,63
4,-3,63
1,-3,62
0,-3,64
0,-2,64
-3,-2,62
-1,0,64
-3,0,63
-7,0,62
-1,-1,65
-1,-1,62
0,-2,63
-3,-4,65
-6,-5,67
-7,-4,66
-9,-4,67
-11,-6,68
-18,-2,66
-19,-8,63
-21,-8,61
-17,-13,51
-16,-10,52
-19,-6,60
-18,-1,61
-20,0,62
-17,4,64
-13,6,65
-8,9,63
-8,11,61
-5,16,59
-6,20,59
-8,23,58
-8,25,59
-12,26,60
-16,29,58
-18,25,56
-20,25,50
-16,26,45
-15,24,46
-9,20,59
-27,17,57
-29,18,55
-6,7,59
7,0,65
16,-7,63
22,-12,60
28,-13,62
21,-14,59
21,-17,58
22,-14,60
29,-14,61
23,-16,60
0,-6,55
9,-5,58
10,-8,59
20,-11,62
29,-9,59
34,-10,55
41,-9,53
45,-4,44
44,-2,41
36,3,23
49,2,26
36,3,18
49,21,8
53,26,8
50,32,-8
46,38,-11
79,32,-7
56,39,-18
56,41,-16
68,39,-10
51,34,-10
45,33,-17
54,37,-17
54,36,-17
55,35,-21
49,35,-24
49,34,-26
50,34,-25
47,35,-26
43,34,-25
45,34,-25
45,33,-26
48,31,-23
50,31,-22
49,32,-24
47,31,-24
52,32,-22
48,35,-26
52,33,-21
51,33,-20
54,35,-24
58,37,-20
39,31,-27
51,35,-27
51,35,-19
50,35,-19
52,35,-15
54,32,-13
43,34,-15
62,31,-1
63,29,-6
61,30,-1
66,31,4
71,33,12
60,33,20
43,34,17
-7,35,37
1,35,48
11,35,52
9,35,49
4,35,47
6,35,47
1,36,50
-1,36,50
-7,36,51
-21,33,54
-17,33,57
-14,33,57
-14,33,55
-9,33,53
-7,34,49
-7,32,51
-7,32,51
-10,33,54
-8,33,55
-11,33,52
-1,31,56
-6,31,58
-16,32,52
-16,31,51
-13,28,54
-19,26,57
-19,25,55
-18,24,54
-19,25,52
-19,24,51
-17,25,50
-17,24,49
-19,25,48
-22,25,50
-26,25,55
-24,26,56
-22,26,55
-21,28,53
-18,28,55
-23,29,56
-19,29,59
-26,30,50
-21,29,52
-23,27,52
-21,26,53
-20,26,54
-15,25,53
-23,25,52
-25,25,53
-21,27,56
-18,27,55
-22,28,51
-21,28,52
-17,27,53
-17,26,53
-17,26,53
-16,25,55
-17,26,55
-18,26,54
-18,26,54
-19,25,54
-18,25,55
-18,26,57
-20,27,55
-18,28,57
-16,28,58
-13,28,57
-14,28,57
-14,26,55
-12,28,54
-12,26,57
-11,27,56
-11,28,57
-15,28,57
-12,28,57
-14,27,58
-14,27,58
-14,27,57
-15,26,56
-15,26,56
-13,27,52
-11,27,49
-10,27,47
-6,27,45
-5,26,46
-2,26,49
-4,26,53
-3,25,57
-1,24,61
-2,24,62
-3,24,63
-5,22,64
-5,22,64
-7,20,65
-6,21,64
-3,19,64
-2,18,66
1,19,64
5,19,62
5,21,61
8,22,58
10,22,59
8,22,55
8,22,56
3,22,59
11,27,64
10,25,65
5,25,63
3,23,55
3,20,53
7,16,60
6,14,61
5,16,65
2,13,65
2,21,60
15,23,60
19,27,48
11,24,51
11,23,52
10,21,63
4,26,52
8,23,52
15,22,55
16,21,54
32,17,60
30,20,57
27,21,51
21,18,53
19,16,54
12,14,57
6,15,60
9,14,61
9,12,60
15,9,59
13,6,64
20,7,61
22,10,56
36,10,59
37,11,61
24,9,51
23,9,55
28,7,59
14,9,53
16,8,56
22,5,62
20,4,64
13,7,59
14,7,61
15,6,61
13,5,62
12,6,58
13,6,61
14,4,62
11,6,60
15,6,61
15,6,60
10,7,58
11,6,60
13,5,61
15,6,63
13,7,61
13,6,59
13,7,59
12,7,62
11,6,62
12,6,61
13,6,60
11,7,58
13,7,62
14,7,61
15,7,61
11,8,59
12,8,61
14,6,62
12,5,60
13,5,61
12,5,61
12,5,62
14,4,63
11,6,61
7,6,61
6,7,61
6,7,63
6,4,65
10,3,67
5,5,65
6,5,64
7,4,63
3,5,61
2,6,62
1,7,60
5,7,60
5,8,60
2,9,61
4,10,60
